Name,Expansion,Min price,Exemplaires en vente,Rareté,mkm_url,expansion_release_date,Tournament_last_month,Price trend,Price 7 days,Price 30 days
Gallade V (LOR TG19),Lost-Origin,"3,00 €",299,Special Illustration Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Gallade-V-V2-LORTG19,"9TH SEPTEMBER, 2022",,,,
Poliwhirl (LOR 031),Lost-Origin,"0,02 €",6088,Uncommon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Poliwhirl-LOR031,"9TH SEPTEMBER, 2022",,,,
Seel (LOR 033),Lost-Origin,"0,02 €",8656,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Seel-LOR033,"9TH SEPTEMBER, 2022",,,,
Hisuian Arcanine (LOR 084),Lost-Origin,"0,02 €",3332,Holo Rare ,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Hisuian-Arcanine-V1-LOR084,"9TH SEPTEMBER, 2022",,,,
Thorton (LOR 195),Lost-Origin,"3,00 €",172,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Thorton-V2-LOR195,"9TH SEPTEMBER, 2022",223.0,"4,56 €","4,80 €","4,60 €"
Gloom (LOR 002),Lost-Origin,"0,02 €",7541,Uncommon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Gloom-LOR002,"9TH SEPTEMBER, 2022",,,,
Porygon (LOR 140),Lost-Origin,"0,02 €",9641,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Porygon-LOR140,"9TH SEPTEMBER, 2022",,,,
Eelektrik (LOR 060),Lost-Origin,"0,02 €",9167,Uncommon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Eelektrik-LOR060,"9TH SEPTEMBER, 2022",,,,
Electrike (LOR 054),Lost-Origin,"0,02 €",14042,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Electrike-LOR054,"9TH SEPTEMBER, 2022",,,,
Machop (LOR 086),Lost-Origin,"0,02 €",10176,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Machop-LOR086,"9TH SEPTEMBER, 2022",,,,
Gastrodon (LOR 102),Lost-Origin,"0,02 €",8537,Uncommon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Gastrodon-LOR102,"9TH SEPTEMBER, 2022",,,,
Snover (LOR 042),Lost-Origin,"0,02 €",13426,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Snover-LOR042,"9TH SEPTEMBER, 2022",,,,
Blipbug (LOR 018),Lost-Origin,"0,02 €",10085,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Blipbug-LOR018,"9TH SEPTEMBER, 2022",,,,
Machoke (LOR 087),Lost-Origin,"0,02 €",9208,Uncommon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Machoke-LOR087,"9TH SEPTEMBER, 2022",,,,
Box of Disaster (LOR 154),Lost-Origin,"0,02 €",9323,Uncommon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Box-of-Disaster-V1-LOR154,"9TH SEPTEMBER, 2022",,,,
Pikachu V (LOR TG16),Lost-Origin,"15,00 €",235,Special Illustration Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Pikachu-V-LORTG16,"9TH SEPTEMBER, 2022",,,,
Hisuian Basculegion (LOR 045),Lost-Origin,"0,02 €",1089,Holo Rare ,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Hisuian-Basculegion-LOR045,"9TH SEPTEMBER, 2022",,,,
Giratina V (LOR 185),Lost-Origin,"4,90 €",302,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Giratina-V-V2-LOR185,"9TH SEPTEMBER, 2022",0.0,"6,71 €","7,84 €","8,05 €"
Enamorus V (LOR TG18),Lost-Origin,"3,99 €",290,Special Illustration Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Enamorus-V-V3-LORTG18,"9TH SEPTEMBER, 2022",,,,
Porygon2 (LOR 141),Lost-Origin,"0,02 €",9004,Uncommon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Porygon2-LOR141,"9TH SEPTEMBER, 2022",,,,
Nessa (LOR TG27),Lost-Origin,"4,40 €",320,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Nessa-LORTG27,"9TH SEPTEMBER, 2022",0.0,"6,41 €","6,00 €","6,76 €"
Sableye (LOR 070),Lost-Origin,"0,02 €",1257,Holo Rare ,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Sableye-LOR070,"9TH SEPTEMBER, 2022",,,,
Mienfoo (LOR 103),Lost-Origin,"0,02 €",10041,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Mienfoo-LOR103,"9TH SEPTEMBER, 2022",,,,
Arezu (LOR 189),Lost-Origin,"0,50 €",331,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Arezu-V2-LOR189,"9TH SEPTEMBER, 2022",0.0,"4,15 €","3,18 €","3,93 €"
Lampent (LOR 025),Lost-Origin,"0,02 €",9110,Uncommon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Lampent-LOR025,"9TH SEPTEMBER, 2022",,,,
Tynamo (LOR 059),Lost-Origin,"0,02 €",8913,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Tynamo-LOR059,"9TH SEPTEMBER, 2022",,,,
